0:004> bp ntdll!RtlpLowFragHeapAllocFromContext+180 ".printf \"currIDx == 0x%x\\r\\n\", @ax;g"
0:004> g
currIDx == 0x3239
currIDx == 0x323a
currIDx == 0x323b
currIDx == 0x323c
currIDx == 0x323d
currIDx == 0x323e
currIDx == 0x323f
currIDx == 0x3240
currIDx == 0x3241
currIDx == 0x3242
currIDx == 0x3243
currIDx == 0x3244
currIDx == 0x3245
currIDx == 0x3246
currIDx == 0x3247
currIDx == 0x3248
currIDx == 0x3249
currIDx == 0x324a
currIDx == 0x324c
currIDx == 0x324d
currIDx == 0x324e
currIDx == 0x324f
currIDx == 0x3250
currIDx == 0x3251
currIDx == 0x3252
currIDx == 0x3253
currIDx == 0x3254
currIDx == 0x3255
currIDx == 0x3256
currIDx == 0x3257
currIDx == 0x3258
currIDx == 0x3259
currIDx == 0x325a
currIDx == 0x325b
currIDx == 0x325c
currIDx == 0x325d
currIDx == 0x325e
currIDx == 0x325f
currIDx == 0x3260
currIDx == 0x3261
currIDx == 0x3262
currIDx == 0x3263
currIDx == 0x3264
currIDx == 0x3265
currIDx == 0x3266
currIDx == 0x3267
currIDx == 0x3268
currIDx == 0x3269
currIDx == 0x326a
currIDx == 0x326b
currIDx == 0x326c
currIDx == 0x326d
currIDx == 0x326e
currIDx == 0x326f
currIDx == 0x3270
currIDx == 0x3271
currIDx == 0x3272
currIDx == 0x3273
currIDx == 0x3274
currIDx == 0x3275
currIDx == 0x3276
currIDx == 0x3277
currIDx == 0x3278
currIDx == 0x3279
currIDx == 0x327a
currIDx == 0x327b
currIDx == 0x327c
currIDx == 0x327d
currIDx == 0x327e
currIDx == 0x327f
currIDx == 0x3280
currIDx == 0x3281
currIDx == 0x3282
currIDx == 0x3283
currIDx == 0x3284
currIDx == 0x3285
currIDx == 0x3286
currIDx == 0x3287
currIDx == 0x3288
currIDx == 0x3289
currIDx == 0x328a
currIDx == 0x328b
currIDx == 0x328c
currIDx == 0x328d
currIDx == 0x328e
currIDx == 0x328f
currIDx == 0x3290
currIDx == 0x3291
currIDx == 0x3292
currIDx == 0x3293
currIDx == 0x3294
currIDx == 0x3295
currIDx == 0x3296
currIDx == 0x3297
currIDx == 0x3298
currIDx == 0x3299
currIDx == 0x329a
currIDx == 0x329b
currIDx == 0x329c
currIDx == 0x329d
currIDx == 0x329e
currIDx == 0x329f
currIDx == 0x32a0
currIDx == 0x32a1
currIDx == 0x32a2
currIDx == 0x32a3
currIDx == 0x32a4
currIDx == 0x32a5
currIDx == 0x32a6
currIDx == 0x32a7
currIDx == 0x32a8
currIDx == 0x32a9
currIDx == 0x32aa
currIDx == 0x32ab
currIDx == 0x32ac
currIDx == 0x32ad
currIDx == 0x32ae
currIDx == 0x32af
currIDx == 0x32b0
currIDx == 0x32b1
currIDx == 0x32b2
currIDx == 0x32b3
currIDx == 0x32b4
currIDx == 0x32b5
currIDx == 0x32b6
currIDx == 0x32b7
currIDx == 0x32b8
currIDx == 0x32b9
currIDx == 0x32ba
currIDx == 0x32bb
currIDx == 0x32bc
currIDx == 0x32bd
currIDx == 0x32be
currIDx == 0x32bf
currIDx == 0x32c0
currIDx == 0x32c1
currIDx == 0x32c2
currIDx == 0x32c3
currIDx == 0x32c4
currIDx == 0x32c5
currIDx == 0x32c6
currIDx == 0x32c7
currIDx == 0x32c8
currIDx == 0x32c9
currIDx == 0x32ca
currIDx == 0x32cb
currIDx == 0x32cc
currIDx == 0x32cd
currIDx == 0x32ce
currIDx == 0x32cf
currIDx == 0x32d0
currIDx == 0x32d1
currIDx == 0x32d2
currIDx == 0x32d3
currIDx == 0x32d4
currIDx == 0x32d5
currIDx == 0x32d6
currIDx == 0x32d7
currIDx == 0x32d8
currIDx == 0x32d9
currIDx == 0x32da
currIDx == 0x32db
currIDx == 0x32dc
currIDx == 0x32dd
currIDx == 0x32de
currIDx == 0x32df
currIDx == 0x32e0
currIDx == 0x32e1
currIDx == 0x32e2
currIDx == 0x32e3
currIDx == 0x32e4
currIDx == 0x32e5
currIDx == 0x32e6
currIDx == 0x32e7
currIDx == 0x32e8
currIDx == 0x32e9
currIDx == 0x32ea
currIDx == 0x32eb
currIDx == 0x32ec
currIDx == 0x32ed
currIDx == 0x32ee
currIDx == 0x32ef
currIDx == 0x32f0
currIDx == 0x32f1
currIDx == 0x32f2
currIDx == 0x32f3
currIDx == 0x32f4
currIDx == 0x32f5
currIDx == 0x32f6
currIDx == 0x32f7
currIDx == 0x32f8
currIDx == 0x32f9
currIDx == 0x32fa
currIDx == 0x32fb
currIDx == 0x32fc
currIDx == 0x32fd
currIDx == 0x32fe
currIDx == 0x32ff
currIDx == 0x3200
currIDx == 0x3201
currIDx == 0x3202
currIDx == 0x3203
currIDx == 0x3204
currIDx == 0x3205
currIDx == 0x3206
currIDx == 0x3207
currIDx == 0x3208
currIDx == 0x3209
currIDx == 0x320a
currIDx == 0x320b
currIDx == 0x320c
currIDx == 0x320d
currIDx == 0x320e
currIDx == 0x320f
currIDx == 0x3210
currIDx == 0x3211
currIDx == 0x3212
currIDx == 0x3213
currIDx == 0x3214
currIDx == 0x3215
currIDx == 0x3216
currIDx == 0x3217
currIDx == 0x3218
currIDx == 0x3219
currIDx == 0x321a
currIDx == 0x321b
currIDx == 0x321c
currIDx == 0x321d
currIDx == 0x321e
currIDx == 0x321f
currIDx == 0x3220
currIDx == 0x3221
currIDx == 0x3222
currIDx == 0x3223
currIDx == 0x3224
currIDx == 0x3225
currIDx == 0x3226
currIDx == 0x3227
currIDx == 0x3228
currIDx == 0x3229
currIDx == 0x322a
currIDx == 0x322b
currIDx == 0x322c
currIDx == 0x322d
currIDx == 0x322e
currIDx == 0x322f
currIDx == 0x3230
currIDx == 0x3231
currIDx == 0x3232
currIDx == 0x2526
currIDx == 0x2527
currIDx == 0x2528
currIDx == 0x2529
currIDx == 0x252a
currIDx == 0x252b
currIDx == 0x252c
currIDx == 0x252d
currIDx == 0x252e
currIDx == 0x252f
currIDx == 0x2530
currIDx == 0x2531
currIDx == 0x2532
currIDx == 0x2533
currIDx == 0x2534
currIDx == 0x2535
currIDx == 0x2536
currIDx == 0x2537
currIDx == 0x2538
currIDx == 0x2539
currIDx == 0x253a
currIDx == 0x253b
currIDx == 0x253c
currIDx == 0x253d
currIDx == 0x253e
currIDx == 0x253f
currIDx == 0x2540
currIDx == 0x2541
currIDx == 0x2542
currIDx == 0x2543
currIDx == 0x2544
currIDx == 0x2545
currIDx == 0x2546
currIDx == 0x2547
currIDx == 0x2548
currIDx == 0x2549
currIDx == 0x254a
currIDx == 0x254b
currIDx == 0x254c
currIDx == 0x254d
currIDx == 0x254e
currIDx == 0x254f
currIDx == 0x2550
currIDx == 0x2551
currIDx == 0x2552
currIDx == 0x2553
currIDx == 0x2554
currIDx == 0x2555
currIDx == 0x2556
currIDx == 0x2557
currIDx == 0x2558
currIDx == 0x2559
currIDx == 0x255a
currIDx == 0x255b
currIDx == 0x255c
currIDx == 0x255d
currIDx == 0x255e
currIDx == 0x255f
currIDx == 0x2560
currIDx == 0x2561
currIDx == 0x2562
currIDx == 0x2563
currIDx == 0x2564
currIDx == 0x2565
currIDx == 0x2566
currIDx == 0x2567
currIDx == 0x2568
currIDx == 0x2569
currIDx == 0x256a
currIDx == 0x256b
currIDx == 0x256c
currIDx == 0x256d
currIDx == 0x256e
currIDx == 0x256f
currIDx == 0x2570
currIDx == 0x2571
currIDx == 0x2572
currIDx == 0x2573
currIDx == 0x2574
currIDx == 0x2575
currIDx == 0x2576
currIDx == 0x2577
currIDx == 0x2578
currIDx == 0x2579
currIDx == 0x257a
currIDx == 0x257b
currIDx == 0x257c
currIDx == 0x257d
currIDx == 0x257e
currIDx == 0x257f
currIDx == 0x2580
currIDx == 0x2581
currIDx == 0x2582
currIDx == 0x2583
currIDx == 0x2584
currIDx == 0x2585
currIDx == 0x2586
currIDx == 0x2587
currIDx == 0x2588
currIDx == 0x2589
currIDx == 0x258a
currIDx == 0x258b
currIDx == 0x258c
currIDx == 0x258d
currIDx == 0x258e
currIDx == 0x258f
currIDx == 0x2590
currIDx == 0x2591
currIDx == 0x2592
currIDx == 0x2593
currIDx == 0x2594
currIDx == 0x2595
currIDx == 0x2596
currIDx == 0x2597
currIDx == 0x2598
currIDx == 0x2599
currIDx == 0x259a
currIDx == 0x259b
currIDx == 0x259c
currIDx == 0x259d
currIDx == 0x259e
currIDx == 0x259f
currIDx == 0x25a0
currIDx == 0x25a1
currIDx == 0x25a2
currIDx == 0x25a3
currIDx == 0x25a4
currIDx == 0x25a5
currIDx == 0x25a6
currIDx == 0x25a7
currIDx == 0x25a8
currIDx == 0x25a9
currIDx == 0x25aa
currIDx == 0x25ab
currIDx == 0x25ac
currIDx == 0x25ad
currIDx == 0x25ae
currIDx == 0x25af
currIDx == 0x25b0
currIDx == 0x25b1
currIDx == 0x25b2
currIDx == 0x25b3
currIDx == 0x25b4
currIDx == 0x25b5
currIDx == 0x25b6
currIDx == 0x25b7
currIDx == 0x25b8
currIDx == 0x25b9
currIDx == 0x25ba
currIDx == 0x25bb
currIDx == 0x25bc
currIDx == 0x25bd
currIDx == 0x25be
